variable,type
首次异常D-二聚体检测数值（μg/ml FEU）_5.97,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.12,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.18,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.38,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.4,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.47,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.55,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.59,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.6,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.03,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.17,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.18,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.26,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.32,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.44,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.52,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.58,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.62,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.79,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_7.85,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_8.39,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_8.4,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_8.8,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_9.14,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_9.21,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_9.23,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_9.99,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_10.34,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_10.42,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_10.68,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_11.18,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_11.33,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_12.13,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_12.55,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_13.67,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_14.19,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_14.44,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_14.52,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_15.63,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_16.488,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_16.9,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_18.12,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_21.7,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_22.0,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_23.42,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_24.08,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_25.39,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_25.44,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_26.67,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_29.74,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_45.99,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_50.54,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_63.67,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_69.25,categorical
首次异常D-二聚体检测数值（μg/ml FEU）_＞20.00,categorical
主要疾病诊断_.双侧亚急性硬膜下血肿,categorical
主要疾病诊断_1.双侧乳腺肿物性质待查：纤维腺瘤？乳腺腺病？乳腺癌？,categorical
主要疾病诊断_2型糖尿病,categorical
主要疾病诊断_2型糖尿病性下肢感染,categorical
主要疾病诊断_2型糖尿病足,categorical
主要疾病诊断_下肢深静脉血栓形成,categorical
主要疾病诊断_下肢肌肉损伤,categorical
主要疾病诊断_下肢静脉曲张,categorical
主要疾病诊断_下肢静脉曲张伴静脉炎( 左),categorical
主要疾病诊断_下肢静脉血栓,categorical
主要疾病诊断_下肢静脉血栓形成,categorical
主要疾病诊断_下肢静脉闭塞(右髂静脉),categorical
主要疾病诊断_不稳定型心绞痛,categorical
主要疾病诊断_丘脑出血,categorical
主要疾病诊断_丙型肝炎后肝硬化失代偿期,categorical
主要疾病诊断_乙状结肠肿瘤,categorical
主要疾病诊断_乳腺恶性肿瘤,categorical
主要疾病诊断_低钾血症,categorical
主要疾病诊断_便血,categorical
主要疾病诊断_充血性心力衰竭,categorical
主要疾病诊断_全身多发损伤,categorical
主要疾病诊断_再生障碍性贫血,categorical
主要疾病诊断_冠状动脉粥样硬化性心脏病,categorical
主要疾病诊断_冠状动脉粥样硬化性心脏病 三支病变,categorical
主要疾病诊断_出血性脑梗死,categorical
主要疾病诊断_前列腺恶性肿瘤并多发骨转移,categorical
主要疾病诊断_动静脉内瘘狭窄(左上肢) 慢性肾脏病V期 慢性肾脏病贫血 慢性心力衰竭 肾性高血压 继发性甲状旁腺功能亢进 高磷血症 低钙血症,categorical
主要疾病诊断_化疗后骨髓抑制,categorical
主要疾病诊断_十二指肠腺癌并出血,categorical
主要疾病诊断_卵巢黏液性囊腺瘤(右侧),categorical
主要疾病诊断_双侧腹股沟复发性直疝,categorical
主要疾病诊断_双侧膝关节骨性关节病,categorical
主要疾病诊断_双侧颈内动脉C5段动脉瘤可能,categorical
主要疾病诊断_双肺肺炎,categorical
主要疾病诊断_双肺肺炎（肺炎克雷伯杆菌+白色念珠菌+克柔念珠菌）,categorical
主要疾病诊断_双肾多发错构瘤,categorical
主要疾病诊断_发热(社区获得性肺炎？) ,categorical
主要疾病诊断_发热、呕吐,categorical
主要疾病诊断_发热查因：重症肺炎？其他？,categorical
主要疾病诊断_取除下腔静脉滤器,categorical
主要疾病诊断_右乳导管乳头状原位癌（pTisN0M0 0期）,categorical
主要疾病诊断_右侧丘脑出血,categorical
主要疾病诊断_右侧基底节区脑出血,categorical
主要疾病诊断_右侧股骨头缺血性坏死,categorical
主要疾病诊断_右侧胫骨髁间棘骨折,categorical
主要疾病诊断_右侧颞叶出血,categorical
主要疾病诊断_右侧髌骨骨折,categorical
主要疾病诊断_右肺上叶腺癌术后,categorical
主要疾病诊断_右肺嗜肺军团菌肺炎,categorical
主要疾病诊断_右肺肺炎,categorical
主要疾病诊断_右胫骨骨折 ,categorical
主要疾病诊断_右膝半月板损伤,categorical
主要疾病诊断_右髂骨粉碎性骨折,categorical
主要疾病诊断_吞咽困难,categorical
主要疾病诊断_呼吸困难,categorical
主要疾病诊断_呼吸心跳骤停,categorical
主要疾病诊断_咯血,categorical
主要疾病诊断_基底节出血(右侧),categorical
主要疾病诊断_基底节出血(右侧基底节、丘脑、侧脑室旁白质) ,categorical
主要疾病诊断_基底节出血(左侧),categorical
主要疾病诊断_基底节出血(左侧) ,categorical
主要疾病诊断_多发性大脑挫裂伤(双侧额叶、颞叶),categorical
主要疾病诊断_多发颅内动脉瘤破裂伴蛛网膜下腔出血,categorical
主要疾病诊断_多处受压区压疮 IV期,categorical
主要疾病诊断_大气道狭窄,categorical
主要疾病诊断_大脑中动脉狭窄,categorical
主要疾病诊断_大脑中动脉瘤破裂伴蛛网膜下隙出血,categorical
主要疾病诊断_大脑前-前交通动脉瘤破裂伴蛛网膜下腔出血,categorical
主要疾病诊断_大脑动脉闭塞脑梗死,categorical
主要疾病诊断_大面积肺栓塞（高危组 ）,categorical
主要疾病诊断_大面积脑梗死,categorical
主要疾病诊断_头晕查因：后循环缺血？,categorical
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),categorical
主要疾病诊断_尿毒症,categorical
主要疾病诊断_尿毒症性脑病,categorical
主要疾病诊断_左侧基底节区出血,categorical
主要疾病诊断_左侧基底节区脑出血,categorical
主要疾病诊断_左侧基底节脑出血,categorical
主要疾病诊断_左侧多发肋骨骨折（4-8肋）,categorical
主要疾病诊断_左侧大隐静脉曲张,categorical
主要疾病诊断_左侧椎动脉V4段夹层动脉瘤,categorical
主要疾病诊断_左侧股骨颈骨折,categorical
主要疾病诊断_左侧胫骨平台骨折,categorical
主要疾病诊断_左侧附件区转移性鳞癌,categorical
主要疾病诊断_左股骨粗隆下骨折术后,categorical
主要疾病诊断_左股骨颈骨折,categorical
主要疾病诊断_左肺腺癌Ⅲ期,categorical
主要疾病诊断_左胫骨平台骨折,categorical
主要疾病诊断_左腋神经损伤,categorical
主要疾病诊断_左腕关节腱鞘囊肿,categorical
主要疾病诊断_左额叶、胼胝体膝部脑出血,categorical
主要疾病诊断_心力衰竭,categorical
主要疾病诊断_心源性脑栓塞,categorical
主要疾病诊断_急性上消化道出血：消化性溃疡并出血,categorical
主要疾病诊断_急性冠脉综合征,categorical
主要疾病诊断_急性多发脑梗死,categorical
主要疾病诊断_急性大面积脑梗死,categorical
主要疾病诊断_急性广泛前壁心肌梗死,categorical
主要疾病诊断_急性心力衰竭,categorical
主要疾病诊断_急性暴发性心肌炎,categorical
主要疾病诊断_急性消化道出血：消化性溃疡并出血？,categorical
主要疾病诊断_急性消化道穿孔,categorical
主要疾病诊断_急性疼痛,categorical
主要疾病诊断_急性肺动脉栓塞,categorical
主要疾病诊断_急性肺栓塞,categorical
主要疾病诊断_急性胆囊炎,categorical
主要疾病诊断_急性脑梗死,categorical
主要疾病诊断_急性脑梗死 ,categorical
主要疾病诊断_急性脑梗死(左侧额顶枕叶、左侧侧脑室旁、右侧额叶 心源性栓塞型可能性大),categorical
主要疾病诊断_急性脑梗死（左侧大脑半球）,categorical
主要疾病诊断_急性脑梗死？,categorical
主要疾病诊断_急性脑血管病,categorical
主要疾病诊断_急性阑尾炎，急性胃肠炎,categorical
主要疾病诊断_急性非ST段抬高型心肌梗死,categorical
主要疾病诊断_恶性肿瘤术后靶向治疗,categorical
主要疾病诊断_恶性肿瘤维持性化学治疗,categorical
主要疾病诊断_恶性肿瘤靶向治疗,categorical
主要疾病诊断_意识障碍(查因),categorical
主要疾病诊断_感染性休克,categorical
主要疾病诊断_慢性心力衰竭急性发作,categorical
主要疾病诊断_慢性肺源性心脏病失代偿期,categorical
主要疾病诊断_慢性肾脏病5期,categorical
主要疾病诊断_慢性肾脏病IV期 肾性贫血 高磷血症 继发性甲状旁腺功能亢进 代谢性酸中毒 血液透析 血管透析导管的机械性并发症,categorical
主要疾病诊断_慢性肾脏病V期 慢性心力衰竭 肾性贫血 低钙血症 高磷血症,categorical
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,categorical
主要疾病诊断_慢性阻塞性肺病伴有急性下呼吸道感染,categorical
主要疾病诊断_慢性阻塞性肺病伴有急性加重,categorical
主要疾病诊断_成人Ph-急性淋巴细胞白血病,categorical
主要疾病诊断_手术后恶性肿瘤化学治疗,categorical
主要疾病诊断_手术后恶性肿瘤化学治疗第三次化疗后,categorical
主要疾病诊断_抗合成酶综合征,categorical
主要疾病诊断_支气管哮喘,categorical
主要疾病诊断_支气管或肺恶性肿瘤,categorical
主要疾病诊断_易栓症,categorical
主要疾病诊断_梗阻性黄疸,categorical
"主要疾病诊断_横结肠低分化腺癌TxNxM1,Ⅳ期",categorical
主要疾病诊断_泌尿外科,categorical
主要疾病诊断_特鲁索综合征,categorical
主要疾病诊断_症状性癫痫,categorical
主要疾病诊断_痛风性关节炎,categorical
主要疾病诊断_社区获得性肺炎,categorical
主要疾病诊断_社区获得性肺炎 ,categorical
主要疾病诊断_社区获得性肺炎，重症,categorical
主要疾病诊断_社区获得性肺炎，非重症,categorical
主要疾病诊断_神经痛,categorical
主要疾病诊断_类风湿性关节炎,categorical
主要疾病诊断_细菌性肺炎,categorical
主要疾病诊断_结肠恶性肿瘤,categorical
主要疾病诊断_肌筋膜炎,categorical
主要疾病诊断_肝脏转移瘤,categorical
主要疾病诊断_股骨转子间骨折,categorical
主要疾病诊断_股骨颈骨折(右侧),categorical
主要疾病诊断_股骨骨折后遗症,categorical
主要疾病诊断_肺恶性肿瘤,categorical
主要疾病诊断_肺挫伤,categorical
主要疾病诊断_肺栓塞,categorical
主要疾病诊断_肺栓塞？,categorical
主要疾病诊断_肺炎,categorical
主要疾病诊断_肺继发性恶性肿瘤,categorical
主要疾病诊断_肺部感染,categorical
主要疾病诊断_肾上腺肿物(左侧),categorical
主要疾病诊断_肾恶性肿瘤,categorical
主要疾病诊断_肾结石(双侧、右侧为著),categorical
主要疾病诊断_肾肿物(右),categorical
主要疾病诊断_肾输尿管结石伴肾积水和感染,categorical
主要疾病诊断_肾造瘘管移位,categorical
主要疾病诊断_肾错构瘤破裂出血(左侧),categorical
主要疾病诊断_肿瘤免疫治疗,categorical
主要疾病诊断_胃多发溃疡并出血,categorical
主要疾病诊断_胆囊结石伴急性胆囊炎,categorical
主要疾病诊断_胆囊结石伴有急性胆囊炎,categorical
主要疾病诊断_胆总管结石,categorical
主要疾病诊断_胆总管结石伴急性化脓性梗阻性胆管炎,categorical
主要疾病诊断_胫腓骨下端骨折(胫腓骨下端骨折术后),categorical
主要疾病诊断_胸椎脱位t11/t12,categorical
主要疾病诊断_胸椎骨折,categorical
主要疾病诊断_胸段脊髓胶质瘤，WHO2级,categorical
主要疾病诊断_胸痛,categorical
主要疾病诊断_胸腔积液,categorical
主要疾病诊断_脊髓血管病,categorical
主要疾病诊断_脑内出血,categorical
主要疾病诊断_脑出血恢复期,categorical
主要疾病诊断_脑室腹腔分流管腹腔段外露,categorical
主要疾病诊断_脑干出血,categorical
主要疾病诊断_脑梗死,categorical
主要疾病诊断_脑梗死亚急性期,categorical
主要疾病诊断_脑梗死恢复期,categorical
主要疾病诊断_脑梗死恢复期  偏瘫(左侧)  皮肤感觉减退(左侧)  肩关节半脱位(左),categorical
主要疾病诊断_脑血管意外,categorical
主要疾病诊断_脑血管狭窄,categorical
主要疾病诊断_脑转移瘤术后恢复期,categorical
主要疾病诊断_脓毒血症,categorical
主要疾病诊断_腰椎压缩性骨折,categorical
主要疾病诊断_腰椎椎管狭窄,categorical
主要疾病诊断_腰椎间盘突出,categorical
主要疾病诊断_腰椎间盘突出伴椎管狭窄,categorical
主要疾病诊断_腰椎间盘突出伴神经根病,categorical
主要疾病诊断_腰椎骨折,categorical
主要疾病诊断_腹胀,categorical
主要疾病诊断_腹腔占位性质待查,categorical
主要疾病诊断_蛛网膜下腔出血,categorical
主要疾病诊断_败血症,categorical
主要疾病诊断_重型原发性免疫性血小板减少症,categorical
主要疾病诊断_重症肺炎,categorical
主要疾病诊断_锁骨下盗血综合征伴锁骨下动脉狭窄(左侧) ,categorical
主要疾病诊断_间变大细胞淋巴瘤,categorical
主要疾病诊断_降结肠恶性肿瘤结肠癌伴出血,categorical
主要疾病诊断_难治性心力衰竭,categorical
主要疾病诊断_非创伤性脑内血肿,categorical
主要疾病诊断_鞍区病变,categorical
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,categorical
主要疾病诊断_颅占位性病变,categorical
主要疾病诊断_颈部脊髓损伤,categorical
主要疾病诊断_颞叶出血(左侧）,categorical
主要疾病诊断_风湿性心脏病,categorical
主要疾病诊断_食管恶性肿瘤,categorical
VTE首次中高危评分日期与药物预防日期差值_-29,categorical
VTE首次中高危评分日期与药物预防日期差值_-27,categorical
VTE首次中高危评分日期与药物预防日期差值_-14,categorical
VTE首次中高危评分日期与药物预防日期差值_-11,categorical
VTE首次中高危评分日期与药物预防日期差值_-9,categorical
VTE首次中高危评分日期与药物预防日期差值_-8,categorical
VTE首次中高危评分日期与药物预防日期差值_-6,categorical
VTE首次中高危评分日期与药物预防日期差值_-5,categorical
VTE首次中高危评分日期与药物预防日期差值_-4,categorical
VTE首次中高危评分日期与药物预防日期差值_-3,categorical
VTE首次中高危评分日期与药物预防日期差值_-2,categorical
VTE首次中高危评分日期与药物预防日期差值_-1,categorical
VTE首次中高危评分日期与药物预防日期差值_0,categorical
VTE首次中高危评分日期与药物预防日期差值_1,categorical
VTE首次中高危评分日期与药物预防日期差值_2,categorical
VTE首次中高危评分日期与药物预防日期差值_3,categorical
VTE首次中高危评分日期与药物预防日期差值_4,categorical
VTE首次中高危评分日期与药物预防日期差值_5,categorical
VTE首次中高危评分日期与药物预防日期差值_6,categorical
VTE首次中高危评分日期与药物预防日期差值_7,categorical
VTE首次中高危评分日期与药物预防日期差值_8,categorical
VTE首次中高危评分日期与药物预防日期差值_9,categorical
VTE首次中高危评分日期与药物预防日期差值_10,categorical
VTE首次中高危评分日期与药物预防日期差值_11,categorical
VTE首次中高危评分日期与药物预防日期差值_12,categorical
VTE首次中高危评分日期与药物预防日期差值_13,categorical
VTE首次中高危评分日期与药物预防日期差值_14,categorical
VTE首次中高危评分日期与药物预防日期差值_15,categorical
VTE首次中高危评分日期与药物预防日期差值_16,categorical
VTE首次中高危评分日期与药物预防日期差值_17,categorical
VTE首次中高危评分日期与药物预防日期差值_19,categorical
VTE首次中高危评分日期与药物预防日期差值_29,categorical
VTE首次中高危评分日期与药物预防日期差值_37,categorical
VTE首次中高危评分日期与药物预防日期差值_none,categorical
性别_女,categorical
性别_男,categorical
预防措施_无预防,categorical
预防措施_机械预防,categorical
预防措施_药物预防,categorical
预防措施_药物预防+机械预防,categorical
首次VTE中高风险评分日期与机械预防日期差值_无,categorical
预防措施_新_基础预防,categorical
预防措施_新_机械预防,categorical
预防措施_新_联合预防,categorical
预防措施_新_药物预防,categorical
