变量,类型,阳性组(n=63),阴性组(n=25),统计方法,P值
是否机械预防,分类,11/63 (17.5%),22/25 (88.0%),Fisher精确,8.649722378366063e-10
预防措施_药物预防+机械预防,分类,4/63 (6.3%),18/25 (72.0%),Fisher精确,9.68069343509212e-10
首次VTE中高风险评分日期与机械预防日期差值_无,分类,48/63 (76.2%),3/25 (12.0%),Fisher精确,3.365360394181866e-08
VTE首次中高危评分日期与机械预防日期差值_无值,分类,48/63 (76.2%),3/25 (12.0%),Fisher精确,3.365360394181866e-08
VTE诊断日期与入院日期是否大于24h,分类,25/63 (39.7%),24/25 (96.0%),Fisher精确,5.82584487932688e-07
规范预防,分类,9/63 (14.3%),16/25 (64.0%),卡方检验,1.0748241814556466e-05
VTE确诊日期与入院日期差值,连续,1.00[0.50-4.50],9.00[3.00-12.00],Mann-Whitney U,1.1166219955761935e-05
预防措施_基础预防,分类,21/63 (33.3%),0/25 (0.0%),Fisher精确,0.0005069463518965337
预防措施_药物预防,分类,31/63 (49.2%),3/25 (12.0%),Fisher精确,0.0013595718219288015
是否步速缓慢,分类,36/63 (57.1%),23/25 (92.0%),Fisher精确,0.002050255537232919
中性粒细胞绝对值(NEUT#)（*10^9/L）,连续,5.67[3.92-6.68],7.65[6.12-10.44],Mann-Whitney U,0.003099191604622025
90天内院内就诊/住院史,分类,49/63 (77.8%),11/25 (44.0%),卡方检验,0.0048887677570050615
医院相关性VTE,分类,42/63 (66.7%),24/25 (96.0%),Fisher精确,0.0051133787063403
白细胞计数(*10^9/L),连续,7.92[5.86-8.95],9.82[8.05-12.39],Mann-Whitney U,0.006031718177828178
住院天数,连续,10.00[6.00-20.50],21.00[14.00-28.00],Mann-Whitney U,0.006652747369477233
是否体力活动水平低,分类,34/63 (54.0%),21/25 (84.0%),Fisher精确,0.01359927720199243
是否药物预防,分类,35/63 (55.6%),21/25 (84.0%),Fisher精确,0.014324193603075793
VTE评估量表（padua1，caprini2，P+C3）_padua,分类,40/63 (63.5%),8/25 (32.0%),卡方检验,0.014756123281609761
总钙(mmol/L),连续,2.17±0.13,2.09±0.12,t检验,0.019749742839551315
VTE首次中高危评分日期与入院日期差值,分类,22/63 (34.9%),16/25 (64.0%),卡方检验,0.024765394120363462
纤维蛋白原Fbg（g/L）,连续,3.71[3.25-4.16],4.37[3.39-4.78],Mann-Whitney U,0.029779403077492578
VTE评估量表（padua1，caprini2，P+C3）_caprini,分类,21/63 (33.3%),15/25 (60.0%),卡方检验,0.03995942512921725
是否久坐/卧床,分类,31/63 (49.2%),19/25 (76.0%),卡方检验,0.0403818470537704
嗜酸性粒细胞比值,连续,1.30[0.70-3.40],0.80[0.20-2.40],Mann-Whitney U,0.05358877184482126
入院科室_康复科,分类,9/63 (14.3%),0/25 (0.0%),Fisher精确,0.05549921628067267
VTE中高危评分,连续,6.00[4.00-8.00],7.00[5.00-10.00],Mann-Whitney U,0.06273303864266738
首次DD与入院日期差值与VTE首次中高危评分日期差值,连续,0.00[-1.00-0.00],0.00[-1.00-2.00],Mann-Whitney U,0.0655381581178466
首次异常DD与入院日期差值,分类,63/63 (100.0%),23/25 (92.0%),Fisher精确,0.07836990595611286
入院科室_脊柱外科,分类,0/63 (0.0%),2/25 (8.0%),Fisher精确,0.07836990595611286
入院科室_妇科,分类,0/63 (0.0%),2/25 (8.0%),Fisher精确,0.07836990595611286
首次异常D-二聚体检测数值（μg/ml FEU）_0.56,分类,17/63 (27.0%),2/25 (8.0%),Fisher精确,0.08234516684592336
入院科室_泌尿外科,分类,3/63 (4.8%),4/25 (16.0%),Fisher精确,0.0973081623273083
活化凝血酶原时间APTT,连续,27.80[26.50-31.30],30.50[27.50-33.70],Mann-Whitney U,0.11333890160084616
嗜酸粒细胞绝对值(E0#)（*10^9/L）,连续,0.09[0.04-0.23],0.08[0.02-0.14],Mann-Whitney U,0.14268551009541033
VTE首次中高危评分日期与药物预防日期差值_无值,分类,30/63 (47.6%),7/25 (28.0%),卡方检验,0.14930638218585562
钾离子,连续,4.00±0.53,3.81±0.57,t检验,0.14959555223502316
入院科室_神经外科,分类,6/63 (9.5%),6/25 (24.0%),卡方检验,0.1498120854493017
Braden量表,连续,19.00[16.50-22.00],18.00[13.00-21.00],Mann-Whitney U,0.16066206903773517
红细胞计数(*10^12/L),连续,3.83[3.38-4.19],3.51[3.15-4.00],Mann-Whitney U,0.16485294850048504
VTE首次中高危评分日期与药物预防日期差值(连续),连续,0.00[0.00-0.00],0.00[0.00-8.00],Mann-Whitney U,0.18468568087336745
首次DD与入院日期差值,分类,34/63 (54.0%),18/25 (72.0%),卡方检验,0.1897999554148908
入院科室_重症医学科,分类,1/63 (1.6%),2/25 (8.0%),Fisher精确,0.19319093096158052
出血风险评估（1/0）,分类,37/63 (58.7%),19/25 (76.0%),卡方检验,0.20297800006183855
是否疲惫,分类,33/63 (52.4%),17/25 (68.0%),卡方检验,0.27333824273281904
主要疾病诊断_泌尿外科,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_慢性心力衰竭急性发作,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_69.25,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_6.74,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_慢性阻塞性肺病伴急性下呼吸道感染,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_急性脑梗死,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_肾恶性肿瘤,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_股骨颈骨折(右侧),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_肾结石(双侧、右侧为著),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_肾肿物(右),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_腰椎间盘突出伴神经根病,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_蛛网膜下腔出血,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_脑干出血,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_胸椎骨折,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_子宫颈鳞状细胞癌(IB1期),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_左侧股骨颈骨折,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_急性肺栓塞,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_＞20.00,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_重症肺炎,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_肾错构瘤破裂出血(左侧),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_颞叶出血(左侧）,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_0.91,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_3.29,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_2.67,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_4.18,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_4.98,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_4.66,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_4.49,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_5.86,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_1.71,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_12.55,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_10.42,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_10.34,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_颅内动脉瘤破裂伴蛛网膜下腔出血,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_1.39,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_25.44,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_基底节出血(右侧),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_0.58,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_0.59,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_0.69,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_多发性大脑挫裂伤(双侧额叶、颞叶),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_基底节出血(左侧),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
首次异常D-二聚体检测数值（μg/ml FEU）_0.55,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_急性非ST段抬高型心肌梗死,分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
主要疾病诊断_卵巢黏液性囊腺瘤(右侧),分类,0/63 (0.0%),1/25 (4.0%),Fisher精确,0.28409090909090917
入院科室_骨关节科,分类,2/63 (3.2%),2/25 (8.0%),Fisher精确,0.3188186406734452
身高,连续,1.63±0.07,1.62±0.07,t检验,0.32289161723369775
BMI,连续,22.49[22.02-24.71],22.49[19.47-23.83],Mann-Whitney U,0.3372823551769448
入院收缩压,连续,127.52±19.21,132.44±27.07,t检验,0.34035434420976074
血红蛋白浓度HGB【确诊前最近一次】(g/L),连续,108.51±20.51,103.84±21.53,t检验,0.34509131375213165
凝血酶原时间PT（s）,连续,12.10[11.50-13.10],12.50[11.50-13.90],Mann-Whitney U,0.35809087772746706
首次VTE中高风险评分日期与药物预防日期差值,连续,0.00[0.00-0.00],0.00[0.00-2.00],Mann-Whitney U,0.44491572815056446
是否存在抗凝禁忌,分类,35/63 (55.6%),11/25 (44.0%),卡方检验,0.4580121005636216
VTE评估量表（padua1，caprini2，P+C3）_caprini、padua,分类,1/63 (1.6%),1/25 (4.0%),Fisher精确,0.48981191222570536
入院科室_创伤骨科,分类,1/63 (1.6%),1/25 (4.0%),Fisher精确,0.48981191222570536
主要疾病诊断_急性心力衰竭,分类,1/63 (1.6%),1/25 (4.0%),Fisher精确,0.48981191222570536
首次异常D-二聚体检测数值（μg/ml FEU）_3.02,分类,1/63 (1.6%),1/25 (4.0%),Fisher精确,0.48981191222570536
首次异常D-二聚体检测数值（μg/ml FEU）_1.25,分类,1/63 (1.6%),1/25 (4.0%),Fisher精确,0.48981191222570536
VTE评估量表（padua1，caprini2，P+C3）_padua、caprini,分类,1/63 (1.6%),1/25 (4.0%),Fisher精确,0.48981191222570536
预防措施_机械预防,分类,7/63 (11.1%),4/25 (16.0%),Fisher精确,0.4998450113916138
糖尿病史,分类,21/63 (33.3%),6/25 (24.0%),卡方检验,0.5485612637138149
入院科室_介入科,分类,3/63 (4.8%),0/25 (0.0%),Fisher精确,0.5550685281038128
主要疾病诊断_脑出血恢复期,分类,3/63 (4.8%),0/25 (0.0%),Fisher精确,0.5550685281038128
入院科室_肾内科,分类,3/63 (4.8%),0/25 (0.0%),Fisher精确,0.5550685281038128
入院科室_血液内科,分类,3/63 (4.8%),0/25 (0.0%),Fisher精确,0.5550685281038128
入院科室_普外科,分类,3/63 (4.8%),0/25 (0.0%),Fisher精确,0.5550685281038128
首次D-二聚体检测数值（μg/ml FEU）,连续,2.13[0.94-2.65],2.24[0.59-4.49],Mann-Whitney U,0.5565357522330394
年龄,连续,62.81±15.90,64.84±12.64,t检验,0.5698409287197364
呼吸系统疾病/COPD,分类,35/63 (55.6%),16/25 (64.0%),卡方检验,0.6281803788361566
VTE首次中高危评分日期与机械预防日期差值(连续),连续,0.00[0.00-0.00],0.00[0.00-1.00],Mann-Whitney U,0.6619739931160262
首次VTE中高风险评分日期与机械预防日期差值,连续,0.00[0.00-0.00],0.00[0.00-1.00],Mann-Whitney U,0.6619739931160262
手术史,分类,33/63 (52.4%),15/25 (60.0%),卡方检验,0.6818196744148864
感染史,分类,46/63 (73.0%),20/25 (80.0%),卡方检验,0.682236562435615
性别_女,分类,26/63 (41.3%),12/25 (48.0%),卡方检验,0.736709407334273
性别_男,分类,37/63 (58.7%),13/25 (52.0%),卡方检验,0.736709407334273
出院收缩压,连续,126.21±18.11,125.20±16.11,t检验,0.8091561299631713
出院舒张压,连续,76.02±10.01,76.60±11.11,t检验,0.8114201490879103
高血压史,分类,42/63 (66.7%),18/25 (72.0%),卡方检验,0.8175648711158829
肾功能不全,分类,21/63 (33.3%),7/25 (28.0%),卡方检验,0.8175648711158829
RBC平均血红蛋白浓度(MCHC),连续,330.00[322.00-337.50],328.00[319.00-337.00],Mann-Whitney U,0.8675551861058405
RBC平均血红蛋白量(MCH),连续,29.30[26.75-30.50],29.00[28.30-30.20],Mann-Whitney U,0.8821105698057639
入院舒张压,连续,74.00[69.50-84.50],75.00[64.00-88.00],Mann-Whitney U,0.9852211447932777
炎症,分类,46/63 (73.0%),19/25 (76.0%),卡方检验,0.9853675371241557
主要疾病诊断_食管恶性肿瘤,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
主要疾病诊断_风湿性心脏病,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
主要疾病诊断_颈部脊髓损伤,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
主要疾病诊断_颅占位性病变,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.36,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.35,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.34,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.3,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.29,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.28,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.27,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.26,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.21,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.2,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.13,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.12,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.11,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.1,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.09,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.66,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.65,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.64,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.62,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.6,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.59,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.58,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.51,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.5,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.46,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.45,分类,1/63 (1.6%),0/25 (0.0%),Fisher精确,1.0
首次异常D-二聚体检测数值（μg/ml FEU）_1.43,分类,0/63 (0.0%),0/25 (0.0%),Fisher精确,1.0
